started_at,ended_at,member_casual,trip_duration_min,time_of_day
2024-09-30 23:12:01.622,2024-10-01 00:20:00.674,casual,67.9842,Midday
2024-09-30 23:19:25.409,2024-10-01 00:42:09.933,casual,82.74206666666667,Midday
2024-09-30 23:49:25.380,2024-10-01 00:06:27.476,member,17.034933333333335,Midday
2024-09-30 23:49:40.016,2024-10-01 00:02:40.578,member,13.009366666666667,Midday
2024-10-06 00:00:13.486,2024-10-06 00:06:07.104,member,5.893633333333333,Midday
2024-10-06 00:00:50.524,2024-10-06 00:04:50.187,member,3.9943833333333334,Midday
2024-10-06 00:01:14.124,2024-10-06 00:10:24.498,casual,9.1729,Midday
2024-10-06 00:01:17.290,2024-10-06 00:10:16.450,casual,8.985999999999999,Midday
2024-10-06 00:01:24.780,2024-10-06 00:16:14.425,casual,14.827416666666666,Midday
2024-10-06 00:01:33.701,2024-10-06 00:04:16.370,casual,2.7111500000000004,Midday
2024-10-06 00:01:46.934,2024-10-06 00:24:11.818,member,22.414733333333334,Midday
2024-10-06 00:02:44.749,2024-10-06 00:13:37.852,member,10.88505,Midday
2024-10-06 00:04:12.901,2024-10-06 00:15:23.404,member,11.17505,Midday
2024-10-06 00:06:35.669,2024-10-06 00:09:28.396,casual,2.8787833333333332,Midday
2024-10-06 00:08:54.716,2024-10-06 00:15:50.478,casual,6.929366666666667,Midday
2024-10-06 00:09:02.694,2024-10-06 00:17:44.581,casual,8.698116666666666,Midday
2024-10-06 00:11:38.241,2024-10-06 00:23:26.623,member,11.806366666666666,Midday
2024-10-06 00:11:41.104,2024-10-06 00:11:58.389,casual,0.28808333333333336,Midday
2024-10-06 00:14:35.831,2024-10-06 00:30:49.048,casual,16.220283333333334,Midday
2024-10-06 00:15:24.489,2024-10-06 00:32:04.339,casual,16.664166666666667,Midday
2024-10-06 00:18:24.531,2024-10-06 00:27:08.418,casual,8.731449999999999,Midday
2024-10-06 00:19:40.234,2024-10-06 00:27:46.528,member,8.104899999999999,Midday
2024-10-06 00:21:50.440,2024-10-06 00:38:24.495,member,16.56758333333333,Midday
2024-10-06 00:22:21.667,2024-10-06 00:36:16.093,casual,13.907100000000002,Midday
2024-10-06 00:22:26.019,2024-10-06 00:27:43.170,casual,5.28585,Midday
2024-10-06 00:22:50.983,2024-10-06 00:29:11.475,member,6.3415333333333335,Midday
2024-10-06 00:22:58.368,2024-10-06 00:36:37.067,casual,13.644983333333332,Midday
2024-10-06 00:23:10.156,2024-10-06 00:26:01.454,member,2.854966666666667,Midday
2024-10-06 00:23:31.359,2024-10-06 00:40:33.171,casual,17.0302,Midday
2024-10-06 00:25:04.438,2024-10-06 00:37:59.286,member,12.914133333333332,Midday
2024-10-06 00:25:26.563,2024-10-06 00:35:49.584,member,10.383683333333332,Midday
2024-10-06 00:27:24.207,2024-10-06 00:32:43.241,member,5.317233333333333,Midday
2024-10-06 00:28:30.530,2024-10-06 00:40:56.322,casual,12.429866666666667,Midday
2024-10-06 00:29:22.160,2024-10-06 00:37:06.036,casual,7.7312666666666665,Midday
2024-10-06 00:29:43.028,2024-10-06 00:38:14.138,casual,8.5185,Midday
2024-10-06 00:31:01.460,2024-10-06 00:31:34.058,member,0.5433,Midday
2024-10-06 00:31:46.252,2024-10-06 00:42:03.765,casual,10.291883333333335,Midday
2024-10-06 00:32:11.876,2024-10-06 01:37:40.724,casual,65.4808,Midday
2024-10-06 00:32:37.396,2024-10-06 00:54:36.792,member,21.989933333333333,Midday
2024-10-06 00:32:57.491,2024-10-06 01:05:55.950,member,32.97431666666667,Midday
2024-10-06 00:34:19.949,2024-10-06 00:41:06.003,member,6.767566666666666,Midday
2024-10-06 00:36:37.096,2024-10-06 00:50:43.275,casual,14.102983333333333,Midday
2024-10-06 00:36:54.804,2024-10-06 00:44:33.555,casual,7.645849999999999,Midday
2024-10-06 00:38:48.855,2024-10-06 01:23:04.492,casual,44.26061666666667,Midday
2024-10-06 00:38:50.526,2024-10-06 00:38:53.527,casual,0.05001666666666667,Midday
2024-10-06 00:39:58.048,2024-10-06 01:00:36.648,member,20.64333333333333,Midday
2024-10-06 00:40:42.195,2024-10-06 00:56:58.895,casual,16.278333333333332,Midday
2024-10-06 00:41:06.011,2024-10-06 00:46:20.134,casual,5.235383333333333,Midday
2024-10-06 00:43:00.465,2024-10-06 01:03:15.631,casual,20.252766666666666,Midday
2024-10-06 00:44:04.822,2024-10-06 00:58:40.092,member,14.587833333333332,Midday
2024-10-06 00:44:30.113,2024-10-06 01:23:29.228,member,38.98524999999999,Midday
2024-10-06 00:45:22.577,2024-10-06 00:54:49.916,casual,9.45565,Midday
2024-10-06 00:46:20.700,2024-10-06 01:10:12.166,casual,23.857766666666667,Midday
2024-10-06 00:47:05.313,2024-10-06 00:52:21.316,member,5.2667166666666665,Midday
2024-10-06 00:49:27.333,2024-10-06 00:55:48.954,member,6.3603499999999995,Midday
2024-10-06 00:50:38.468,2024-10-06 00:55:28.135,member,4.827783333333333,Midday
